0 2.750000e+01 0 5.062500e+02 3.086420e-05 9.383405e+00 18
1 1.579937e+01 -3.119046e-05 1.550984e+01 3.086419e-05 1.542954e+01 1.800000e+01
2 1.811864e+01 -6.585860e-05 7.875553e+00 3.086416e-05 2.051118e+01 1.800000e+01
3 2.047062e+01 -1.003791e-04 5.277733e+00 3.086406e-05 2.524898e+01 1.800000e+01
4 1.915970e+01 -1.452430e-04 3.968651e+00 3.086388e-05 1.518582e+01 1.800000e+01
5 1.960468e+01 -1.777719e-04 3.179932e+00 3.086357e-05 2.139925e+01 1.800000e+01
6 1.922030e+01 -2.223967e-04 2.652765e+00 3.086312e-05 1.728741e+01 1.800000e+01
7 1.879614e+01 -2.710966e-04 2.275567e+00 3.086248e-05 1.623957e+01 1.800000e+01
8 1.855806e+01 -3.166362e-04 1.992326e+00 3.086164e-05 1.688649e+01 1.800000e+01
9 1.838926e+01 -3.612885e-04 1.771838e+00 3.086056e-05 1.703703e+01 1.800000e+01
10 1.881395e+01 -3.678011e-04 1.595342e+00 3.085921e-05 2.265270e+01 1.800000e+01
11 1.870837e+01 -4.130678e-04 1.450877e+00 3.085756e-05 1.765450e+01 1.800000e+01
12 1.799940e+01 -5.233978e-04 1.330461e+00 3.085558e-05 1.018850e+01 1.800000e+01
13 1.764756e+01 -6.023672e-04 1.228562e+00 3.085325e-05 1.342531e+01 1.800000e+01
14 1.754832e+01 -6.510817e-04 1.141223e+00 3.085052e-05 1.626600e+01 1.800001e+01
15 1.765850e+01 -6.655640e-04 1.065541e+00 3.084738e-05 1.921431e+01 1.800001e+01
16 1.756976e+01 -7.172769e-04 9.993393e-01 3.084380e-05 1.625067e+01 1.800001e+01
17 1.763989e+01 -7.347884e-04 9.409491e-01 3.083974e-05 1.877700e+01 1.800001e+01
18 1.814191e+01 -6.376174e-04 8.890739e-01 3.083517e-05 2.669078e+01 1.800001e+01
19 1.852115e+01 -5.610515e-04 8.426890e-01 3.083007e-05 2.535870e+01 1.800001e+01
20 1.808844e+01 -7.382957e-04 8.009744e-01 3.082441e-05 9.893505e+00 1.800001e+01
21 1.796194e+01 -8.188089e-04 7.632661e-01 3.081815e-05 1.545740e+01 1.800001e+01
22 1.785637e+01 -8.954028e-04 7.290207e-01 3.081127e-05 1.566841e+01 1.800001e+01
23 1.799688e+01 -8.670897e-04 6.977889e-01 3.080375e-05 2.110487e+01 1.800001e+01
24 1.790662e+01 -9.448153e-04 6.691966e-01 3.079554e-05 1.586659e+01 1.800002e+01
25 1.811153e+01 -8.704639e-04 6.429291e-01 3.078663e-05 2.303699e+01 1.800002e+01
26 1.793386e+01 -1.006359e-03 6.187202e-01 3.077698e-05 1.354824e+01 1.800002e+01
27 1.772589e+01 -1.168901e-03 5.963431e-01 3.076656e-05 1.239018e+01 1.800002e+01
28 1.786863e+01 -1.106438e-03 5.756033e-01 3.075536e-05 2.173547e+01 1.800002e+01
29 1.792826e+01 -1.096754e-03 5.563331e-01 3.074333e-05 1.962607e+01 1.800002e+01
30 1.796601e+01 -1.100855e-03 5.383871e-01 3.073046e-05 1.909425e+01 1.800002e+01
31 1.799311e+01 -1.111662e-03 5.216387e-01 3.071671e-05 1.884376e+01 1.800003e+01
32 1.783959e+01 -1.279995e-03 5.059772e-01 3.070206e-05 1.318740e+01 1.800003e+01
33 1.790962e+01 -1.246838e-03 4.913049e-01 3.068648e-05 2.017601e+01 1.800003e+01
34 1.783445e+01 -1.354311e-03 4.775360e-01 3.066995e-05 1.544795e+01 1.800003e+01
35 1.778052e+01 -1.443448e-03 4.645943e-01 3.065243e-05 1.604014e+01 1.800003e+01
36 1.775123e+01 -1.508001e-03 4.524120e-01 3.063391e-05 1.681269e+01 1.800003e+01
37 1.760844e+01 -1.708202e-03 4.409287e-01 3.061436e-05 1.264259e+01 1.800004e+01
38 1.772113e+01 -1.598585e-03 4.300903e-01 3.059374e-05 2.188272e+01 1.800004e+01
39 1.763429e+01 -1.743479e-03 4.198483e-01 3.057205e-05 1.449249e+01 1.800004e+01
40 1.774240e+01 -1.624767e-03 4.101589e-01 3.054924e-05 2.194067e+01 1.800004e+01
41 1.765201e+01 -1.786186e-03 4.009826e-01 3.052531e-05 1.422286e+01 1.800004e+01
42 1.780203e+01 -1.588478e-03 3.922838e-01 3.050021e-05 2.386680e+01 1.800005e+01
43 1.779773e+01 -1.625608e-03 3.840299e-01 3.047394e-05 1.771412e+01 1.800005e+01
44 1.783961e+01 -1.586073e-03 3.761915e-01 3.044647e-05 1.967444e+01 1.800005e+01
45 1.771192e+01 -1.837373e-03 3.687418e-01 3.041778e-05 1.239558e+01 1.800005e+01
46 1.762670e+01 -2.020450e-03 3.616560e-01 3.038784e-05 1.405128e+01 1.800006e+01
47 1.760693e+01 -2.085929e-03 3.549118e-01 3.035663e-05 1.685555e+01 1.800006e+01
48 1.764805e+01 -2.033148e-03 3.484885e-01 3.032413e-05 1.962131e+01 1.800006e+01
49 1.765025e+01 -2.056371e-03 3.423671e-01 3.029033e-05 1.787762e+01 1.800006e+01
50 1.767234e+01 -2.037031e-03 3.365301e-01 3.025520e-05 1.883140e+01 1.800007e+01
51 1.772748e+01 -1.943258e-03 3.309614e-01 3.021873e-05 2.047125e+01 1.800007e+01
52 1.771340e+01 -2.002397e-03 3.256462e-01 3.018088e-05 1.716772e+01 1.800007e+01
53 1.771947e+01 -2.014826e-03 3.205706e-01 3.014166e-05 1.815359e+01 1.800007e+01
54 1.766181e+01 -2.181454e-03 3.157218e-01 3.010104e-05 1.493863e+01 1.800008e+01
55 1.769780e+01 -2.116485e-03 3.110879e-01 3.005900e-05 1.966537e+01 1.800008e+01
56 1.773077e+01 -2.056328e-03 3.066580e-01 3.001552e-05 1.957017e+01 1.800008e+01
57 1.771387e+01 -2.126880e-03 3.024217e-01 2.997061e-05 1.698867e+01 1.800009e+01
58 1.780687e+01 -1.894975e-03 2.983694e-01 2.992422e-05 2.285943e+01 1.800009e+01
59 1.784344e+01 -1.816241e-03 2.944921e-01 2.987637e-05 1.994353e+01 1.800009e+01
60 1.790784e+01 -1.653043e-03 2.907815e-01 2.982702e-05 2.153533e+01 1.800010e+01
61 1.790834e+01 -1.676959e-03 2.872296e-01 2.977618e-05 1.807868e+01 1.800010e+01
62 1.789416e+01 -1.745828e-03 2.838292e-01 2.972382e-05 1.725565e+01 1.800010e+01
63 1.788849e+01 -1.788316e-03 2.805733e-01 2.966994e-05 1.772338e+01 1.800010e+01
64 1.800945e+01 -1.418308e-03 2.774554e-01 2.961452e-05 2.502173e+01 1.800011e+01
65 1.799864e+01 -1.479505e-03 2.744693e-01 2.955757e-05 1.751913e+01 1.800011e+01
66 1.789508e+01 -1.858529e-03 2.716094e-01 2.949906e-05 1.204378e+01 1.800012e+01
67 1.793874e+01 -1.728158e-03 2.688700e-01 2.943900e-05 2.066328e+01 1.800012e+01
68 1.794043e+01 -1.745010e-03 2.662462e-01 2.937738e-05 1.820459e+01 1.800012e+01
69 1.792016e+01 -1.841844e-03 2.637329e-01 2.931418e-05 1.687941e+01 1.800013e+01
70 1.798724e+01 -1.611958e-03 2.613257e-01 2.924941e-05 2.220298e+01 1.800013e+01
71 1.792613e+01 -1.868499e-03 2.590201e-01 2.918306e-05 1.437787e+01 1.800013e+01
72 1.806304e+01 -1.353636e-03 2.568121e-01 2.911513e-05 2.663886e+01 1.800014e+01
73 1.812267e+01 -1.138303e-03 2.546976e-01 2.904562e-05 2.196359e+01 1.800014e+01
74 1.814349e+01 -1.076944e-03 2.526729e-01 2.897452e-05 1.958460e+01 1.800014e+01
75 1.817738e+01 -9.596362e-04 2.507344e-01 2.890184e-05 2.044814e+01 1.800015e+01
76 1.822857e+01 -7.667523e-04 2.488789e-01 2.882757e-05 2.160490e+01 1.800015e+01
77 1.814688e+01 -1.142821e-03 2.471030e-01 2.875172e-05 1.306580e+01 1.800016e+01
78 1.822058e+01 -8.419188e-04 2.454036e-01 2.867428e-05 2.310363e+01 1.800016e+01
79 1.827238e+01 -6.342314e-04 2.437779e-01 2.859527e-05 2.175492e+01 1.800017e+01
80 1.825188e+01 -7.511820e-04 2.422229e-01 2.851468e-05 1.704172e+01 1.800017e+01
81 1.819594e+01 -1.032083e-03 2.407360e-01 2.843253e-05 1.466668e+01 1.800017e+01
82 1.824760e+01 -8.117198e-04 2.393147e-01 2.834881e-05 2.180166e+01 1.800018e+01
83 1.833377e+01 -4.243825e-04 2.379564e-01 2.826354e-05 2.418149e+01 1.800018e+01
84 1.830701e+01 -5.774126e-04 2.366588e-01 2.817671e-05 1.664066e+01 1.800019e+01
85 1.827254e+01 -7.689563e-04 2.354195e-01 2.808835e-05 1.609202e+01 1.800019e+01
86 1.827673e+01 -7.697167e-04 2.342365e-01 2.799846e-05 1.870063e+01 1.800020e+01
87 1.826875e+01 -8.311426e-04 2.331076e-01 2.790704e-05 1.787196e+01 1.800020e+01
88 1.822644e+01 -1.067424e-03 2.320308e-01 2.781412e-05 1.549984e+01 1.800020e+01
89 1.820174e+01 -1.213932e-03 2.310041e-01 2.771970e-05 1.668207e+01 1.800021e+01
90 1.814219e+01 -1.543058e-03 2.300257e-01 2.762379e-05 1.423680e+01 1.800021e+01
91 1.819028e+01 -1.304541e-03 2.290938e-01 2.752642e-05 2.170095e+01 1.800022e+01
92 1.822338e+01 -1.144217e-03 2.282066e-01 2.742759e-05 2.069716e+01 1.800022e+01
93 1.818651e+01 -1.361057e-03 2.273625e-01 2.732731e-05 1.580558e+01 1.800023e+01
94 1.826170e+01 -9.655641e-04 2.265598e-01 2.722562e-05 2.368968e+01 1.800023e+01
95 1.818354e+01 -1.415325e-03 2.257969e-01 2.712251e-05 1.289078e+01 1.800024e+01
96 1.815012e+01 -1.616786e-03 2.250725e-01 2.701802e-05 1.600676e+01 1.800024e+01
97 1.811966e+01 -1.801871e-03 2.243849e-01 2.691215e-05 1.619243e+01 1.800025e+01
98 1.808820e+01 -1.992828e-03 2.237328e-01 2.680493e-05 1.609849e+01 1.800025e+01
99 1.798764e+01 -2.580967e-03 2.231148e-01 2.669638e-05 1.111978e+01 1.800026e+01
100 1.798676e+01 -2.592584e-03 2.225296e-01 2.658652e-05 1.820903e+01 1.800026e+01
101 1.795371e+01 -2.791886e-03 2.219758e-01 2.647536e-05 1.589118e+01 1.800027e+01
102 1.790374e+01 -3.090917e-03 2.214524e-01 2.636294e-05 1.464542e+01 1.800028e+01
103 1.791093e+01 -3.050468e-03 2.209580e-01 2.624927e-05 1.874834e+01 1.800028e+01
104 1.794528e+01 -2.846943e-03 2.204915e-01 2.613438e-05 2.072584e+01 1.800029e+01
105 1.802715e+01 -2.356120e-03 2.200518e-01 2.601829e-05 2.420763e+01 1.800029e+01
106 1.802363e+01 -2.383243e-03 2.196377e-01 2.590102e-05 1.804705e+01 1.800030e+01
107 1.798692e+01 -2.613011e-03 2.192483e-01 2.578260e-05 1.562406e+01 1.800030e+01
108 1.789781e+01 -3.165123e-03 2.188824e-01 2.566306e-05 1.176951e+01 1.800031e+01
109 1.784731e+01 -3.477606e-03 2.185390e-01 2.554241e-05 1.453684e+01 1.800031e+01
110 1.782824e+01 -3.593677e-03 2.182173e-01 2.542070e-05 1.680859e+01 1.800032e+01
111 1.779413e+01 -3.803712e-03 2.179162e-01 2.529794e-05 1.569173e+01 1.800033e+01
112 1.780700e+01 -3.716915e-03 2.176349e-01 2.517416e-05 1.912469e+01 1.800033e+01
113 1.776306e+01 -3.990085e-03 2.173724e-01 2.504938e-05 1.495160e+01 1.800034e+01
114 1.773217e+01 -4.179370e-03 2.171279e-01 2.492365e-05 1.588610e+01 1.800034e+01
115 1.772676e+01 -4.204857e-03 2.169006e-01 2.479698e-05 1.774664e+01 1.800035e+01
116 1.773103e+01 -4.167739e-03 2.166895e-01 2.466940e-05 1.845782e+01 1.800036e+01
117 1.763096e+01 -4.804680e-03 2.164941e-01 2.454094e-05 1.075021e+01 1.800036e+01
118 1.772408e+01 -4.185971e-03 2.163134e-01 2.441164e-05 2.497821e+01 1.800037e+01
119 1.765690e+01 -4.613197e-03 2.161467e-01 2.428151e-05 1.316870e+01 1.800037e+01
120 1.762634e+01 -4.799451e-03 2.159934e-01 2.415060e-05 1.584054e+01 1.800038e+01
121 1.764205e+01 -4.680920e-03 2.158526e-01 2.401892e-05 1.925315e+01 1.800039e+01
122 1.755658e+01 -5.229339e-03 2.157238e-01 2.388652e-05 1.175670e+01 1.800039e+01
123 1.752975e+01 -5.387856e-03 2.156063e-01 2.375341e-05 1.605937e+01 1.800040e+01
